id;origtext;enabled;is_default;default_terms_id;Group Value
7125;OLE;1;0;0;Libraries, Frameworks & Software Standards
7126;MOF;1;0;0;Processes & Methodologies
7127;Bourne shell;1;1;0;Programming Languages
7129;MPEG;1;0;0;Miscellaneous
7130;Bluetooth;1;1;0;Communications & Networking
7133;NetWare;1;1;0;Operating Systems
7136;JRules;1;0;0;Libraries, Frameworks & Software Standards
7137;Adobe After Effects;1;1;0;Applications
7139;SAP Smart Forms;1;1;0;Libraries, Frameworks & Software Standards
7142;S-PLUS;1;0;0;Applications
7145;Jackrabbit;1;0;0;Database & Business Intelligence
7150;Snort;1;0;0;System Software
7156;Actuate;1;0;9385;Vendors
7161;FreeBSD;1;1;0;Operating Systems
7164;DO-178B;1;0;0;Quality Assurance & Compliance
7171;Talend Open Studio;1;0;0;Development Applications
7185;QSIG;1;0;0;Communications & Networking
7193;StructureMap;1;0;0;Libraries, Frameworks & Software Standards
7198;Tableau;1;0;0;Vendors
7202;Postini;1;0;0;Vendors
7206;XML-RPC;1;1;0;Libraries, Frameworks & Software Standards
7207;DPNSS;1;0;0;Communications & Networking
7213;SilkPerformer;1;1;0;Development Applications
7219;OpenBSD;1;1;0;Operating Systems
7221;Spring Web Flow;1;0;5020;Libraries, Frameworks & Software Standards
7222;SolarWinds Orion;1;0;0;Systems Management
7223;Cognos Powerplay;1;1;0;Database & Business Intelligence
7224;NCR;1;0;0;Vendors
7225;Red Hat Satellite;1;1;0;Systems Management
7227;Kerridge;1;0;0;Not Yet Defined
7232;Visual Studio Tools for Office;1;1;0;Development Applications
7236;WiMAX;1;1;0;Communications & Networking
7239;SAP QM;1;1;0;Business Applications
7240;Oracle Spatial;1;1;0;Application Platforms
7241;SAP Business One;1;1;0;Business Applications
7243;Firebird;1;0;0;Database & Business Intelligence
7244;VLDB;1;0;0;Database & Business Intelligence
7245;Pthreads;1;0;0;Libraries, Frameworks & Software Standards
7248;HL7;1;0;0;Quality Assurance & Compliance
7249;Movex;1;1;0;Business Applications
7251;QALoad;1;0;0;Development Applications
7252;WebLOAD;1;0;0;Development Applications
7253;Oracle 10gAS;0;0;0;Application Platforms
7257;CATIA;1;0;0;Applications
7258;JDE World;1;1;0;Not Yet Defined
7261;Adobe Premiere;1;1;0;Applications
7262;RedPrairie;1;1;0;Vendors
7263;MediaWiki;1;0;0;Application Platforms
7266;Crossbeam;1;0;0;Vendors
7267;UTRAN;1;0;0;Communications & Networking
7268;eTOM;1;0;0;Processes & Methodologies
7269;NGN;1;0;0;Communications & Networking
7271;Tivoli Identity Manager;1;1;0;Systems Management
7272;Cairngorm;1;1;0;Libraries, Frameworks & Software Standards
7273;PureMVC;1;1;0;Libraries, Frameworks & Software Standards
7275;OpenVPN;1;1;0;Communications & Networking
7280;Apache Axis;1;1;0;Libraries, Frameworks & Software Standards
7283;Epicor;1;0;0;Vendors
7287;NetSuite;1;0;0;Vendors
7288;Solaris Administrator;1;0;5112;Not Yet Defined
7291;CIPFA;1;0;0;Qualifications
7292;Navision;1;1;0;Business Applications
7293;InterSystems;1;0;0;Vendors
7302;SAP PS;1;1;0;Business Applications
7304;Redmine;1;1;0;Development Applications
7306;PVCS;1;0;0;Development Applications
7310;RoboHelp;1;0;0;Applications
7311;MVS;1;0;0;Operating Systems
7313;Facelets;1;0;0;Libraries, Frameworks & Software Standards
7319;FpML;1;0;0;Libraries, Frameworks & Software Standards
7321;INSURE/90;1;0;0;Business Applications
7322;MSF;1;0;0;Processes & Methodologies
7325;DecisionStream;1;0;0;Database & Business Intelligence
7326;Linedata;1;0;0;Vendors
7327;Log4Net;1;0;0;Development Applications
7329;XNA;1;1;0;Libraries, Frameworks & Software Standards
7330;FastStats;1;0;0;Applications
7334;EPiServer CMS;1;0;0;Application Platforms
7335;WiX;1;1;0;Development Applications
7339;Ingres;1;0;0;Database & Business Intelligence
7341;Hummingbird;1;0;0;Vendors
7347;LiveSite;1;0;0;Not Yet Defined
7348;Black-Scholes;1;0;0;Processes & Methodologies
7349;XBRL;1;1;0;Libraries, Frameworks & Software Standards
7350;OLE DB;1;0;0;Libraries, Frameworks & Software Standards
7355;TortoiseSVN;1;1;0;Development Applications
7359;OpenSSO;1;1;0;Systems Management
7360;FlexUnit;1;0;0;Development Applications
7364;Brio;1;0;0;Not Yet Defined
7365;Cisco Voice;1;1;0;Communications & Networking
7366;Oracle HTTP Server;0;0;0;Application Platforms
7368;CA Wily;1;0;5731;Systems Management
7371;OutlookSoft;1;0;0;Not Yet Defined
7373;JRun;1;0;0;Not Yet Defined
7378;Nimsoft;1;0;0;Vendors
7379;iRise;1;0;0;Vendors
7383;JNCIE;1;0;0;Qualifications
7384;iPhone SDK;1;1;0;Libraries, Frameworks & Software Standards
7385;Sourcefire;1;0;0;Vendors
7386;CBAP;1;0;0;Qualifications
7389;QiCA;1;0;0;Qualifications
7391;SAS Insight Analyst;1;1;0;Not Yet Defined
7392;Terracotta;1;0;0;Vendors
7396;Cordys;1;0;0;Business Applications
7400;CCENT;1;1;0;Qualifications
7406;ESRI;1;0;0;Vendors
7408;SQL Azure;1;1;0;Database & Business Intelligence
7409;qmail;1;0;0;System Software
7413;Sybase ASE;1;1;0;Database & Business Intelligence
7416;NVQ Level 3;1;0;0;Qualifications
7422;Quark;1;0;0;Vendors
7424;Exchange;1;0;5038;Application Platforms
7428;Windows Identity Foundation;1;1;0;Libraries, Frameworks & Software Standards
7433;WMI;1;1;0;Systems Management
7434;Green Hills;1;1;0;Vendors
7435;Line 50;1;0;0;Business Applications
7436;Greenplum;1;1;0;Vendors
7439;DataPower;1;0;0;Miscellaneous
7441;Planview;1;0;0;Vendors
7448;Wonderware;1;1;0;Vendors
7451;AppFabric;1;1;0;Libraries, Frameworks & Software Standards
7452;SPARQL;1;0;0;Programming Languages
7453;TippingPoint;1;0;0;Vendors
7454;Compuware;1;0;0;Vendors
7455;3ds Max;1;1;0;Applications
7463;Wise Package Studio;1;1;0;Development Applications
7464;OBIEE;1;1;0;Not Yet Defined
7467;Introscope;1;0;0;Development Applications
7471;Lombardi;1;0;0;Development Applications
7472;CIPD;1;0;0;Qualifications
7474;Infoblox;1;0;0;Vendors
7476;Nucleus RTOS;1;0;0;Operating Systems
7478;Micro Focus;1;0;0;Vendors
7480;OpenDeploy;1;1;0;Not Yet Defined
7481;TestPartner;1;0;0;Development Applications
7482;InterSystems Cache;1;0;0;Database & Business Intelligence
7483;NWDI;1;0;0;Development Applications
7484;Fiserv;1;0;0;Vendors
7486;Pro/ENGINEER;1;0;0;Applications
7487;SoftGrid;1;0;0;Not Yet Defined
7488;SCORM;1;0;0;Miscellaneous
7491;BS25999;1;1;0;Quality Assurance & Compliance
7495;Sphinx;1;0;0;Libraries, Frameworks & Software Standards
7500;Tuxedo;1;0;0;Application Platforms
7506;Qualys;1;0;0;Vendors
7507;NETGEAR;1;0;0;Vendors
7508;GAMP;1;0;0;Quality Assurance & Compliance
7509;SonicMQ;1;0;0;Libraries, Frameworks & Software Standards
7510;BASE24;1;0;0;Business Applications
7511;Acronis;1;0;0;Vendors
7516;Immediacy CMS;1;0;0;Application Platforms
7519;JNCIP;1;0;0;Qualifications
7520;L2TP;1;0;0;Communications & Networking
7521;Concordion;1;0;0;Development Applications
7523;Stellent;1;0;0;Vendors
7524;Beauchamp;1;0;0;Business Applications
7528;Thunderhead;1;0;0;Vendors
7529;RedDot;1;0;0;Vendors
7531;Oracle Exalogic;1;1;0;Miscellaneous
7534;SSCP;1;0;0;Qualifications
7535;Cisco UCCE;1;1;0;Systems Management
7537;SimCorp Dimension;1;0;0;Business Applications
7539;WSH;1;0;0;Libraries, Frameworks & Software Standards
7540;SCJP;1;1;0;Qualifications
7546;Civica;1;0;0;Vendors
7547;XMPP;1;1;0;Libraries, Frameworks & Software Standards
7549;StatPro;1;0;0;Vendors
7550;ECMAScript;1;0;0;Programming Languages
7551;PACS;1;0;0;Miscellaneous
7553;FrontPage;1;1;0;Development Applications
7555;VirtualBox;1;0;0;System Software
7557;SCJA;1;1;0;Qualifications
7562;GL TRADE;1;0;0;Vendors
7564;PrintSoft PReS;1;0;0;Applications
7565;IEC 61508;1;0;0;Quality Assurance & Compliance
7567;ZABBIX;1;1;0;Systems Management
7568;Ganglia;1;1;0;Systems Management
7570;GLSL;1;0;0;Programming Languages
7575;LPAR;1;0;0;Miscellaneous
7577;Cisco ICM;1;1;0;Communications & Networking
7581;JDE OneWorld;1;1;0;Business Applications
7584;PeopleTools;1;0;0;Development Applications
7587;SeeBeyond;1;0;0;Not Yet Defined
7591;SGSN;1;0;0;Communications & Networking
7595;Maya;1;1;0;Applications
7596;Clearswift;1;0;0;Vendors
7599;Barracuda Networks;1;0;0;Vendors
7600;JDE EnterpriseOne;1;1;0;Business Applications
7602;ECDL;1;0;0;Qualifications
7604;SproutCore;1;0;0;Libraries, Frameworks & Software Standards
7616;ArcGIS;1;0;0;Application Platforms
7617;Baan;1;1;0;Vendors
7618;REXX;1;0;0;Programming Languages
7621;CCDE;1;0;0;Qualifications
7624;Reverse Proxy;1;0;0;Communications & Networking
7627;Oracle Identity Management;1;1;0;Systems Management
7629;Log4j;1;0;0;Development Applications
7630;OCA;1;1;0;Qualifications
7644;RTCP;1;0;0;Communications & Networking
7645;GDB;1;0;0;Development Applications
7647;Kaspersky;1;1;0;Vendors
7648;webOS;1;0;0;Operating Systems
7652;Oracle Data Warehouse;1;1;0;Database & Business Intelligence
7653;CTC Cleared;1;0;0;Qualifications
7654;Pentaho;1;1;0;Database & Business Intelligence
7655;Front Arena;1;0;0;Business Applications
7656;Jolt;1;0;0;Not Yet Defined
7663;Novell eDirectory;1;1;0;System Software
7669;MUMPS;1;0;0;Programming Languages
7670;AWT;1;0;0;Libraries, Frameworks & Software Standards
7673;Resin;1;0;0;Application Platforms
7677;GxP;1;0;0;Quality Assurance & Compliance
7679;GNU Toolchain;1;0;0;Development Applications
7680;Rackspace Cloud;1;0;0;Cloud Services
7681;Cobbler;1;0;0;Systems Management
7689;OpenSocial;1;1;0;Not Yet Defined
7690;Pocket PC;1;0;0;Miscellaneous
7701;Cadence;1;0;0;Vendors
7703;SAP EP;1;1;0;Application Platforms
7707;FLEXCUBE;1;1;0;Business Applications
7708;Sage MMS;1;1;0;Business Applications
7711;SAP Business Workflow;1;1;0;Libraries, Frameworks & Software Standards
7713;EMC Navisphere;1;1;0;Systems Management
7715;SAP HANA;1;1;0;Database & Business Intelligence
7722;Site Server;1;0;0;Application Platforms
7723;MRTG;1;0;0;Communications & Networking
7726;Patsystems;1;0;0;Not Yet Defined
